Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AMReporter.java",11,0,11,0,2,,,,,9,0,1,32,,32,32,29,32,,8,0,3,21,,476,56,380,146,197,40,,186,250,129,143,,8,,4,,,"0,11",58,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTBuilder.java",13,0,12,0,4,,,,,1,14,0,18,,18,4,1,18,,18,0,0,0,,300,30,245,59,173,25,,122,151,55,110,,42,,2,,,"0,10",65,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTConverter.java",17,1,14,2,3,,,,,7,2,2,34,,34,32,24,34,,9,8,2,15,,733,98,555,219,329,80,,294,432,220,279,,14,,4,,,"0,14",117,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTErrorNode.java",2,0,2,0,1,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,49,8,21,18,6,20,,12,18,13,5,,1,,0,,,"0,95",5,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTNode.java",10,1,8,1,2,,,,,1,0,1,26,,26,26,7,26,,0,8,0,18,,350,53,240,75,133,57,,123,178,67,129,,11,,4,,,"0,24",58,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ASTNodeOrigin.java",7,0,4,3,1,,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,95,9,31,14,10,55,,16,23,13,10,,1,,0,,,"1,77",6,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ATSHook.java",15,1,14,2,1,,,,,7,0,6,15,,7,15,13,15,,3,0,0,12,,227,27,178,68,118,37,,109,128,62,89,,8,,2,,,"0,21",19,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbortDroneException.java",3,0,3,0,1,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,29,1,10,5,3,18,,4,7,5,2,,1,,0,,,"1,80",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbortTxnRequest.java",7,0,6,1,2,,,,,6,3,6,38,,36,35,5,38,,1,2,0,35,,387,64,297,104,144,29,,139,207,91,124,,5,,3,,,"0,10",61,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"AbstractBucketJoinProc.java",38,3,32,3,7,,,,,1,2,0,11,,12,10,1,12,,0,4,3,5,,515,52,395,155,236,69,,193,282,137,205,,26,,6,,,"0,17",75,,,,,,,,,,,0,0,"0,00","0,00"
